persona_id,persona_name,persona_type,barrier_text,barrier_type,impact,workarounds,barrier_sequence
david-chen-it-director-healthcare,David Chen,business,Complex approval processes for new technology,process,Delays decisions by 2-3 months on average,Build business cases with clear ROI and compliance benefits,1
david-chen-it-director-healthcare,David Chen,business,Integration challenges with existing systems,technology,Requires extensive testing and may block adoption,Require detailed integration documentation and sandbox testing,2
david-chen-it-director-healthcare,David Chen,business,Vendor lock-in concerns,policy,Hesitation to commit to long-term contracts,Negotiate exit clauses and data portability guarantees,3
david-chen-it-director-healthcare,David Chen,business,Staff training and change management requirements,knowledge,Slows adoption and increases implementation costs,Request comprehensive training programs and documentation,4
david-chen-it-director-healthcare,David Chen,business,Unclear digital transformation strategy across departments,vision,Misaligned priorities and duplicated efforts,Participate in strategic planning sessions and advocate for IT alignment,5
david-chen-it-director-healthcare,David Chen,business,Poor communication of technical requirements to non-technical stakeholders,communications,Misunderstandings and unrealistic expectations,Create simplified documentation and regular stakeholder briefings,6
sarah-martinez-working-mom-consumer,Sarah Martinez,consumer,Concerns about product quality when buying online,knowledge,Hesitation to purchase unfamiliar products,Relies heavily on reviews and return policies,1
sarah-martinez-working-mom-consumer,Sarah Martinez,consumer,Complicated return processes,process,Avoids retailers with difficult returns,Chooses retailers with simple return policies,2
sarah-martinez-working-mom-consumer,Sarah Martinez,consumer,Subscription services that are hard to cancel,process,Avoids subscriptions or experiences anxiety about cancellation,Avoids subscriptions or sets calendar reminders to cancel,3
sarah-martinez-working-mom-consumer,Sarah Martinez,consumer,Confusing product information and unclear return policies,communications,Delays purchase decisions,Seeks clarification through customer service before purchasing,4
sarah-martinez-working-mom-consumer,Sarah Martinez,consumer,Unclear escalation path when initial customer service fails,governance,Frustration and brand switching,Uses social media complaints or seeks manager contacts,5
maria-rodriguez-senior-sales-rep,Maria Rodriguez,employee,Complex systems that require multiple logins,technology,Wastes time and creates frustration,Uses password manager and bookmarks to streamline access,1
maria-rodriguez-senior-sales-rep,Maria Rodriguez,employee,Limited mobile functionality for key applications,technology,Reduces productivity while traveling,Relies on phone calls and email when traveling,2
maria-rodriguez-senior-sales-rep,Maria Rodriguez,employee,Inadequate integration between sales and marketing tools,technology,Manual data entry and coordination overhead,Manually coordinates between systems and teams,3
maria-rodriguez-senior-sales-rep,Maria Rodriguez,employee,Insufficient training time for new features,resource,Slower adoption and potential errors,Learns on-the-job and relies on peer support,4
maria-rodriguez-senior-sales-rep,Maria Rodriguez,employee,Unclear company strategic direction affects sales messaging,vision,Inconsistent customer messaging and lost opportunities,Develops own customer-focused messaging based on feedback,5
maria-rodriguez-senior-sales-rep,Maria Rodriguez,employee,Poor communication about product updates and competitive positioning,communications,Surprised by customer questions or competitor moves,Maintains informal network with product management team,6
maria-rodriguez-senior-sales-rep,Maria Rodriguez,employee,Unclear approval authority for custom pricing and deal structures,governance,Delays deals and creates customer frustration,Maintains relationships with multiple decision makers for faster approvals,7
